Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,45ème salon aéronautique,Le Bourget,Seine-Saint-Denis ,France,21/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Ajaccio,Corse ,France,21/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Vinexpo,Bordeaux,Gironde ,France,22/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Berlin,nc,Allemagne,26/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,1ère rencontre de l'investissement international ,La Baule-Escoublac,Loire-Atlantique ,France,27/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite de travail,Saint-Pétersbourg,nc,Russie,28/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Strasbourg,Bas-Rhin ,France,01/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,Etape du Tour de France cycliste,Meaux,Seine-et-Marne ,France,06/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Luxembourg,nc,Luxembourg,11/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Epinal,Vosges ,France,17/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Toulon,Var ,France,19/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Rabat,nc,Maroc,24/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Angoulême,Charente-Maritime ,France,26/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Combloux,Haute-Savoie ,France,06/08/2003,2003
Premier ministre,Jean-Pierre Raffarin,Cérémonie d'ouverture des 9èmes championnats du monde d'athlétisme au Stade de France,Saint-Denis,Seine-Saint-Denis ,France,23/08/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déjeuner avec le collège européen,Bruxelles,nc,Belgique,27/08/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Amiens,Somme ,France,01/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Séminaire à la Villa d'Este,Tivoli,nc,Italie,05/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Université d'été de l'UMP ,Moliets-et-Maa,Landes ,France,05/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement Education,Avrillé,Maine-et-Loire ,France,08/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Séminaire intergouvernemental franco-britannique,Chequers,nc,Royaume-Uni,11/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Inauguration du monument des 1000 fusillés au Mont-Valérien,Suresnes,Hauts-de-Seine ,France,20/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Journées parlementaires de l'UMP,Nancy,Meurthe-et-Moselle ,France,22/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Châtelaillon-Plage,Charente-Maritime ,France,27/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Moscou,nc,Russie,05/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement « armée de terre »,Mourmelon-le-Grand,Marne ,France,10/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet du PPE,Bruxelles,nc,Belgique,15/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement au Vatican,Vatican,nc,Italie,18/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Lisbonne,nc,Portugal,02/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet franco-espagnol,Carcassonne,Aude ,France,06/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,32ème congrès de la Confédération française de l'encadrement (CFE-CGC) ,Issy-les-Moulineaux,Hauts-de-Seine ,France,07/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Saint-Nazaire,Loire-Atlantique ,France,16/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,Congrès de l'UMP au parc des expositions,Villepinte,Seine-Saint-Denis ,France,28/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Angoulême,Charente ,France,29/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite ,Varsovie,nc,Pologne,30/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,Séminaire franco-allemand,Nancy,Meurthe-et-Moselle,France,05/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Annecy,Haute-Savoie ,France,06/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet mondial sur la société de l'information,Genève,nc,Suisse,11/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Toulon,Var ,France,19/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,Grandes conférences catholiques,Bruxelles,nc,Belgique,13/01/2004,2004
Premier ministre,Jean-Pierre Raffarin,Assemblée générale des maires de la Vienne au Futuroscope,Poitiers,Vienne ,France,24/01/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite des installations d'AIRBUS en compagnie du président de la République populaire de Chine ,Toulouse,Haute-Garonne ,France,29/01/2004,2004
Premier ministre,Jean-Pierre Raffarin,16ème congrès du PPE,Bruxelles,nc,Belgique,05/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,Palais des sports Louis Lauga,Bayonne,Pyrenees-Atlantiques ,France,07/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Lyon,Rhone ,France,09/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Caen,Calvados ,France,13/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,Convention nationale du PPE,Madrid,nc,Espagne,15/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,Séminaire germano-franco-britanique,Berlin,nc,Allemagne,18/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Metz,Lorraine ,France,28/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Pithiviers,Loiret ,France,05/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Besançon,Doubs ,France,09/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,Réunion publique,Maisons-Alfort,Val-de-Marne ,France,10/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Marseille,Bouches-du-Rhone,France,11/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Madrid,nc,Espagne,12/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,Ouverture de la Convention des droits de l'homme,Genève,nc,Suisse,15/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,Rencontre avec l'équipe de France de rugby,Marcoussis,Essonne ,France,24/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Limoges,Haute-Vienne ,France,25/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,Inauguration de l'espace commémoratif Charles de Gaulle,Roissy-en-Brie,Seine-et-Marne,France,23/04/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Montargis,Loiret,France,30/04/2004,2004
Premier ministre,Jean-Pierre Raffarin,Rencontre avec les ambassadeurs des pays membres de l'UE,Houjarray,Yvelines ,France,03/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Inauguration de la chaîne d'assemblage AIRBUS A380,Toulouse,Haute-Garonne ,France,07/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite de l'Ecole polytechnique,Palaiseau,Essonne ,France,14/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,83ème foire internationale,Bordeaux,Gironde ,France,15/05/2004,2004
